source_workbook,source_sheet,source_row,t,I,V,T,j,j_A,I_B
附件2.xlsx,-20℃,3,0.0,2.0,0.799,-19.99535477911209,0.006,0.08,0.15
附件2.xlsx,-20℃,4,0.2,2.1,0.799,-19.99535477911209,0.006,0.084,0.15
附件2.xlsx,-20℃,5,0.4,2.0,0.8,-19.993905207799145,0.007,0.08,0.17500000000000002
附件2.xlsx,-20℃,6,0.6,2.0,0.8,-19.992502715071993,0.007,0.08,0.17500000000000002
附件2.xlsx,-20℃,7,0.8,2.1,0.8,-19.99106601796501,0.006,0.084,0.15
附件2.xlsx,-20℃,8,1.0,2.0,0.8,-19.98963334868654,0.006,0.08,0.15
附件2.xlsx,-20℃,9,1.2,2.0,0.8,-19.988242898954383,0.007,0.08,0.17500000000000002
附件2.xlsx,-20℃,10,1.4,2.1,0.8,-19.986818077674656,0.007,0.084,0.17500000000000002
附件2.xlsx,-20℃,11,1.6,1.8,0.8,-19.985473550325025,0.007,0.07200000000000001,0.17500000000000002
附件2.xlsx,-20℃,12,1.8,2.2,0.8,-19.984094614370747,0.006,0.08800000000000001,0.15
附件2.xlsx,-20℃,13,2.0,2.0,0.8,-19.98264301189576,0.007,0.08,0.17500000000000002
附件2.xlsx,-20℃,14,2.2,2.1,0.8,-19.981233739111815,0.006,0.084,0.15
附件2.xlsx,-20℃,15,2.4,2.0,0.8,-19.97982836914474,0.006,0.08,0.15
附件2.xlsx,-20℃,16,2.6,2.0,0.8,-19.978465069634865,0.006,0.08,0.15
附件2.xlsx,-20℃,17,2.8,2.0,0.8,-19.977105534431615,0.006,0.08,0.15
附件2.xlsx,-20℃,18,3.0,2.2,0.8,-19.975673343168808,0.006,0.08800000000000001,0.15
附件2.xlsx,-20℃,19,3.2,2.1,0.8,-19.974206805547624,0.006,0.084,0.15
附件2.xlsx,-20℃,20,3.4,2.0,0.8,-19.972820922226305,0.006,0.08,0.15
附件2.xlsx,-20℃,21,3.6,2.1,0.8,-19.97143886873448,0.006,0.084,0.15
附件2.xlsx,-20℃,22,3.8,2.1,0.8,-19.970022418720248,0.007,0.084,0.17500000000000002
附件2.xlsx,-20℃,23,4.0,2.0,0.8,-19.968648126966286,0.006,0.08,0.15
附件2.xlsx,-20℃,24,4.2,1.9,0.8,-19.967353781243105,0.006,0.076,0.15
附件2.xlsx,-20℃,25,4.4,2.0,0.801,-19.966062995180636,0.006,0.08,0.15
附件2.xlsx,-20℃,26,4.6,2.0,0.801,-19.964737756967992,0.007,0.08,0.17500000000000002
附件2.xlsx,-20℃,27,4.8,2.0,0.801,-19.963416191841873,0.006,0.08,0.15
附件2.xlsx,-20℃,28,5.0,2.0,0.801,-19.962098284320717,0.007,0.08,0.17500000000000002
附件2.xlsx,-20℃,29,5.2,2.2,0.801,-19.960707765800493,0.007,0.08800000000000001,0.17500000000000002
附件2.xlsx,-20℃,30,5.4,2.0,0.801,-19.95932112290177,0.007,0.08,0.17500000000000002
附件2.xlsx,-20℃,31,5.6,1.9,0.801,-19.958052539033645,0.007,0.076,0.17500000000000002
附件2.xlsx,-20℃,32,5.8,2.0,0.801,-19.956787439576374,0.006,0.08,0.15
附件2.xlsx,-20℃,33,6.0,2.0,0.802,-19.95548786883316,0.006,0.08,0.15
附件2.xlsx,-20℃,34,6.2,2.2,0.797,-19.954115714078767,0.005,0.08800000000000001,0.125
附件2.xlsx,-20℃,35,6.4,3.7,0.765,-19.952086185736107,0.01,0.14800000000000002,0.25
附件2.xlsx,-20℃,36,6.6,5.3,0.739,-19.948801165481086,0.015,0.212,0.375
附件2.xlsx,-20℃,37,6.8,6.8,0.718,-19.944201846122212,0.02,0.272,0.5
附件2.xlsx,-20℃,38,7.0,9.3,0.699,-19.937825035820026,0.025,0.37200000000000005,0.625
附件2.xlsx,-20℃,39,7.2,11.0,0.682,-19.929496322579922,0.032,0.44,0.8
附件2.xlsx,-20℃,40,7.4,11.7,0.667,-19.92003469485607,0.038,0.46799999999999997,0.95
